,REARING_NUMBER,YEAR_OF_COLL,LEG,COUNTRY,REGION,SITE,NDECDEG,EDECDEG,ELEVATION,RSAL,RGALLER,RPAR,N_GALLS,NB_GALLS_PAR,site_time,site_ID
3357,199927Y-M1Ovesic,1999,1999-08-31,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovesic,Svesic,89,4,Zillis1999,639
3358,199927Y-M1Ovesic,1999,1999-08-31,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovesic,Hruber,89,1,Zillis1999,639
3454,199938O1-T1Edaphn,1999,1999-08-31,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal6,Edaphn,Enobbe,27,3,Zillis1999,639
3455,199938O1-T1Edaphn,1999,1999-08-31,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal6,Edaphn,Chalci,27,15,Zillis1999,639
3456,199942A-HEnigri,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal18,Enigri,Chalci,46,27,Zillis1999,639
3457,199942F-HEnigri,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal18,Enigri,Chalci,37,24,Zillis1999,639
3555,1999SZ55Hischn,1999,1999-07-14,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal3,Hischn,Ialter,27,1,Zillis1999,639
3556,1999SZ56Hischn,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal3,Hischn,none,18,0,Zillis1999,639
3558,1999T1Eelaea,1999,1999-06-02,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Eelaea,Chalci,3,1,Zillis1999,639
3559,1999U1Eelaea,1999,1999-06-02,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Eelaea,none,1,0,Zillis1999,639
3560,1999V2Eelaea,1999,1999-06-02,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Eelaea,none,2,0,Zillis1999,639
3561,1999W1Eelaea,1999,1999-06-02,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Eelaea,none,3,0,Zillis1999,639
3562,1999X1Eelaea,1999,1999-06-02,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Eelaea,none,1,0,Zillis1999,639
3563,1999Y1Eelaea,1999,1999-06-02,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Eelaea,none,5,0,Zillis1999,639
3564,1999Z1Eelaea,1999,1999-05-27,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Eelaea,none,2,0,Zillis1999,639
