"Salix"	"Rgaller"	"cooccur"	"interact"	"salix_ID"	"galler_ID"	"post_mean"	"post_SD"
"247"	"viminalis x ?"	"Okriec"	0	0	50	71	0.545143663965149	0.048141703207588
"248"	"alpina?"	"Okriec"	0	0	3	71	0.545143663965149	0.048141703207588
"249"	"phylicifolia x caprea ?"	"Okriec"	0	0	39	71	0.545143663965149	0.048141703207588
"250"	"lapponum x glauca?"	"Okriec"	0	0	31	71	0.545143663965149	0.048141703207588
"251"	"lapponum x glauca"	"Okriec"	0	0	30	71	0.545143663965149	0.048141703207588
"252"	"aurita x caprea"	"Okriec"	0	0	7	71	0.545143663965149	0.048141703207588
"253"	"starkeana"	"Okriec"	0	0	47	71	0.545143663965149	0.048141703207588
"254"	"hastata x phylicifolia"	"Okriec"	0	0	25	71	0.545143663965149	0.048141703207588
"255"	"lapponum x phylicifolia"	"Okriec"	0	0	32	71	0.545143663965149	0.048141703207588
"256"	"acutifolia"	"Okriec"	0	0	1	71	0.545143663965149	0.048141703207588
"257"	"bicolor"	"Okriec"	0	0	8	71	0.545143663965149	0.048141703207588
"258"	"polaris"	"Okriec"	0	0	40	71	0.545143663965149	0.048141703207588
"259"	"cinerea x myrsinifolia"	"Okriec"	0	0	15	71	0.545143663965149	0.048141703207588
"260"	"fragilis x pentandra"	"Okriec"	0	0	20	71	0.545143663965149	0.048141703207588
"261"	"elaeagnos"	"Onigri"	1	0	17	78	0.456512080518707	0.0403384966949806
"262"	"appendiculata"	"Onigri"	3	0	5	78	0.344493791569958	0.0277054286114692
"263"	"myrsinifolia"	"Onigri"	15	15	34	78	0.883735129050368	0.00509895444079194
"264"	"foetida"	"Onigri"	4	0	18	78	0.306846955494385	0.0232433133556618
"265"	"hastata"	"Onigri"	7	0	24	78	0.231086455862499	0.0146235144851536
"266"	"daphnoides"	"Onigri"	2	0	16	78	0.392670223765779	0.0333507633690987
"267"	"helvetica"	"Onigri"	1	0	26	78	0.456512080518707	0.0403384966949806
"268"	"glaucosericea"	"Onigri"	1	0	23	78	0.456512080518707	0.0403384966949806
"269"	"cinerea"	"Onigri"	0	0	13	78	0.545143663965149	0.048141703207588
"270"	"purpurea"	"Onigri"	2	0	41	78	0.392670223765779	0.0333507633690987
"271"	"alba"	"Onigri"	0	0	2	78	0.545143663965149	0.048141703207588
"272"	"fragilis"	"Onigri"	0	0	19	78	0.545143663965149	0.048141703207588
"273"	"repens"	"Onigri"	0	0	42	78	0.545143663965149	0.048141703207588
"274"	"lapponum"	"Onigri"	0	0	29	78	0.545143663965149	0.048141703207588
"275"	"myrsinites"	"Onigri"	0	0	35	78	0.545143663965149	0.048141703207588
"276"	"phylicifolia"	"Onigri"	1	0	38	78	0.456512080518707	0.0403384966949806
"277"	"glauca"	"Onigri"	2	0	22	78	0.392670223765779	0.0333507633690987
"278"	"caprea"	"Onigri"	2	0	11	78	0.392670223765779	0.0333507633690987
"279"	"mielichhoferi"	"Onigri"	7	7	33	78	0.807186351839145	0.0128088853607276
