Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
40	0.9	18.3412698413	16.3888888889	0.0
41	0.9	18.4920634921	16.2063492063	0.0
42	0.9	18.0952380952	16.5396825397	0.0
43	0.9	18.3888888889	16.0793650794	3.5527136788e-15
44	0.9	18.2063492063	16.8333333333	0.0
45	0.9	18.619047619	16.5317460317	3.5527136788e-15
46	0.9	18.626984127	16.9682539683	3.5527136788e-15
47	0.9	18.6587301587	16.3571428571	3.5527136788e-15
48	0.9	18.0873015873	16.5476190476	3.5527136788e-15
49	0.9	18.0952380952	16.126984127	0.0
50	0.9	18.0793650794	16.1031746032	3.5527136788e-15
51	0.9	18.4047619048	15.7777777778	1.7763568394e-15
52	0.9	18.2777777778	16.5873015873	7.1054273576e-15
53	0.9	18.5634920635	16.5	0.0
54	0.9	18.0238095238	16.7698412698	3.5527136788e-15
55	0.9	18.2619047619	16.5714285714	7.1054273576e-15
56	0.9	17.619047619	16.4761904762	0.0
57	0.9	18.126984127	16.5238095238	0.0
58	0.9	18.746031746	16.6031746032	3.5527136788e-15
59	0.9	18.3412698413	16.3492063492	0.0
60	0.9	18.4920634921	16.6031746032	3.5527136788e-15
61	0.9	18.2936507937	16.6904761905	3.5527136788e-15
62	0.9	18.7619047619	16.380952381	3.5527136788e-15
63	0.9	18.2301587302	16.2698412698	3.5527136788e-15
64	0.9	18.5	16.8968253968	3.5527136788e-15
65	0.9	18.2222222222	16.3253968254	3.5527136788e-15
66	0.9	18.2380952381	16.1666666667	0.0
67	0.9	18.126984127	16.2222222222	3.5527136788e-15
68	0.9	18.246031746	16.8492063492	0.0
69	0.9	18.3253968254	16.3968253968	3.5527136788e-15
70	0.9	17.9047619048	16.626984127	0.0
71	0.9	18.0238095238	16.246031746	3.5527136788e-15
72	0.9	18.3492063492	16.4841269841	0.0
73	0.9	17.9126984127	16.0	0.0
74	0.9	18.5396825397	16.6428571429	3.5527136788e-15
75	0.9	18.0396825397	16.4126984127	7.1054273576e-15
76	0.9	17.8174603175	16.3492063492	0.0
77	0.9	18.1984126984	16.5238095238	0.0
78	0.9	18.4126984127	16.8174603175	7.1054273576e-15
79	0.9	18.0634920635	16.126984127	0.0
80	0.9	18.3492063492	16.246031746	3.5527136788e-15
81	0.9	18.380952381	16.3650793651	3.5527136788e-15
82	0.9	18.6111111111	16.1746031746	3.5527136788e-15
83	0.9	18.119047619	16.5158730159	0.0
84	0.9	18.5555555556	16.6349206349	3.5527136788e-15
85	0.9	17.9126984127	16.5952380952	3.5527136788e-15
86	0.9	18.4047619048	16.253968254	3.5527136788e-15
87	0.9	17.7301587302	16.6507936508	0.0
88	0.9	18.3412698413	16.0158730159	0.0
89	0.9	17.8015873016	16.4285714286	7.1054273576e-15
90	0.9	18.5873015873	16.4682539683	3.5527136788e-15
91	0.9	18.5714285714	16.4206349206	3.5527136788e-15
92	0.9	18.4206349206	16.2222222222	3.5527136788e-15
93	0.9	18.0555555556	16.5714285714	7.1054273576e-15
94	0.9	18.753968254	16.1825396825	7.1054273576e-15
95	0.9	17.5555555556	16.6031746032	3.5527136788e-15
96	0.9	18.4761904762	16.0	0.0
97	0.9	18.0476190476	16.6111111111	0.0
98	0.9	18.3492063492	16.3571428571	3.5527136788e-15
99	0.9	18.5476190476	16.6825396825	7.1054273576e-15
100	0.9	17.9444444444	16.5555555556	0.0
1	0.2	18.3015873016	3.85547995748	0.0789088255294
2	0.2	18.1428571429	3.83286113866	0.0684097105561
3	0.2	17.8333333333	3.76656234899	0.0872616365175
4	0.2	18.2857142857	3.84329560728	0.0618884942738
5	0.2	18.373015873	3.84970367393	0.0716756016064
6	0.2	18.0634920635	3.78220165788	0.0691072260124
7	0.2	17.6746031746	3.73070711023	0.0760346418537
8	0.2	18.1904761905	3.81678601795	0.0731238750372
9	0.2	17.8492063492	3.75979894238	0.0837795000013
10	0.2	17.9920634921	3.79649807396	0.0774549110088
11	0.2	18.3492063492	3.84051220422	0.064261494637
12	0.2	18.5158730159	3.90174322159	0.076971864899
13	0.2	18.8412698413	3.91704414453	0.062242948235
14	0.2	18.0634920635	3.80485492337	0.0746019586514
15	0.2	18.4841269841	3.87078797261	0.0702491991822
16	0.2	18.4365079365	3.84479559618	0.0677665198123
17	0.2	18.373015873	3.85727668458	0.0681022533084
18	0.2	18.2857142857	3.85114697926	0.0830305676762
19	0.2	18.6666666667	3.89595310695	0.0636217856767
20	0.2	18.2857142857	3.85279699055	0.0760400946562
21	0.2	18.0555555556	3.79611665628	0.0701211902525
22	0.2	18.0476190476	3.77876673241	0.0736195151906
23	0.2	18.5396825397	3.88347942194	0.0681812334921
24	0.2	18.3253968254	3.83868947871	0.0762864976634
25	0.2	18.8253968254	3.92850143083	0.065483097017
26	0.2	18.1111111111	3.80934356055	0.0648350683252
27	0.2	18.1349206349	3.80492732206	0.0718567640831
28	0.2	18.1825396825	3.81786635488	0.0763746326007
29	0.2	18.746031746	3.9140417242	0.0602833250648
30	0.2	18.4285714286	3.84980055702	0.0651377400222
31	0.2	17.9603174603	3.78075359493	0.0667613145492
32	0.2	18.4682539683	3.87712237603	0.0758314663836
33	0.2	18.380952381	3.84006807067	0.0695052027307
34	0.2	18.8650793651	3.92409299178	0.0648168490328
35	0.2	18.3174603175	3.83909841512	0.0702017891607
36	0.2	17.9841269841	3.78797836126	0.0704725202722
37	0.2	18.3650793651	3.85207499881	0.0745746657472
38	0.2	18.2936507937	3.84439725699	0.0750100799446
39	0.2	17.9206349206	3.78665631043	0.0834083928419
40	0.2	18.3412698413	3.83761848127	0.0636374065709
41	0.2	18.4920634921	3.89217110813	0.0817257006859
42	0.2	18.0952380952	3.81005080417	0.0667091986789
43	0.2	18.3888888889	3.86485796083	0.0732272216479
44	0.2	18.2063492063	3.81816617567	0.0838685280675
45	0.2	18.619047619	3.89355445374	0.0661386834991
46	0.2	18.626984127	3.88797862211	0.0727927891602
47	0.2	18.6587301587	3.9009316655	0.0574399642817
48	0.2	18.0873015873	3.79917337427	0.0672328268539
49	0.2	18.0952380952	3.81187610094	0.0643751842018
50	0.2	18.0793650794	3.79060495701	0.0661924447063
51	0.2	18.4047619048	3.87295936081	0.0737572126929
52	0.2	18.2777777778	3.84156278658	0.0676568879298
53	0.2	18.5634920635	3.87170392143	0.0718853282731
54	0.2	18.0238095238	3.79252855537	0.060926657105
55	0.2	18.2619047619	3.83146325424	0.0621016989207
56	0.2	17.619047619	3.70998227191	0.0617332321884
57	0.2	18.126984127	3.80204332446	0.0733622047466
58	0.2	18.746031746	3.913434628	0.0714137081444
59	0.2	18.3412698413	3.84068006727	0.0693475647106
60	0.2	18.4920634921	3.87746748681	0.0693128212953
61	0.2	18.2936507937	3.83889316913	0.0640493521522
62	0.2	18.7619047619	3.90803725219	0.0650576739029
63	0.2	18.2301587302	3.8153129614	0.0746778943533
64	0.2	18.5	3.86643357273	0.075550216619
65	0.2	18.2222222222	3.82985756597	0.0721772898231
66	0.2	18.2380952381	3.82068649611	0.0738547078564
67	0.2	18.126984127	3.8194374236	0.070922898299
68	0.2	18.246031746	3.82292146793	0.0743596935375
69	0.2	18.3253968254	3.82048622847	0.0740736952653
70	0.2	17.9047619048	3.77361578541	0.0655899610534
71	0.2	18.0238095238	3.81262959341	0.0800916002002
72	0.2	18.3492063492	3.84466193178	0.0641923304305
73	0.2	17.9126984127	3.76820396724	0.0640559130172
74	0.2	18.5396825397	3.9011099236	0.0625828488252
75	0.2	18.0396825397	3.77823516973	0.067536248502
76	0.2	17.8174603175	3.7609354006	0.0731870179629
77	0.2	18.1984126984	3.79543981829	0.0683188887064
78	0.2	18.4126984127	3.86231252981	0.0660714592652
