Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
64	0.99	28.4583333333	28.1666666667	7.1054273576e-15
65	0.99	28.8333333333	28.5416666667	3.5527136788e-15
66	0.99	28.7395833333	28.4479166667	3.5527136788e-15
67	0.99	28.8020833333	28.5104166667	3.5527136788e-15
68	0.99	28.7291666667	28.4375	0.0
69	0.99	28.5833333333	28.2916666667	7.1054273576e-15
70	0.99	28.5416666667	28.25	0.0
71	0.99	28.5416666667	28.25	0.0
72	0.99	28.5729166667	28.28125	0.0
73	0.99	28.5520833333	28.2604166667	7.1054273576e-15
74	0.99	27.5208333333	27.2395833333	7.1054273576e-15
75	0.99	29.1041666667	28.8125	0.0
76	0.99	28.0625	27.78125	0.0
77	0.99	28.9375	28.6458333333	3.5527136788e-15
78	0.99	29.3854166667	29.0833333333	3.5527136788e-15
79	0.99	28.0729166667	27.7916666667	7.1054273576e-15
80	0.99	28.5104166667	28.21875	0.0
81	0.99	28.65625	28.3645833333	7.1054273576e-15
82	0.99	28.8541666667	28.5625	0.0
83	0.99	27.90625	27.625	0.0
84	0.99	28.3645833333	28.0729166667	7.1054273576e-15
85	0.99	29.3125	29.0104166667	3.5527136788e-15
86	0.99	28.8541666667	28.5625	0.0
87	0.99	28.375	28.0833333333	7.1054273576e-15
88	0.99	29.0416666667	28.75	0.0
89	0.99	28.5208333333	28.2291666667	7.1054273576e-15
90	0.99	28.4895833333	28.1979166667	7.1054273576e-15
91	0.99	28.59375	28.3020833333	7.1054273576e-15
92	0.99	28.5625	28.2708333333	7.1054273576e-15
93	0.99	28.7708333333	28.4791666667	3.5527136788e-15
94	0.99	29.0520833333	28.7604166667	3.5527136788e-15
95	0.99	27.8854166667	27.6041666667	7.1054273576e-15
96	0.99	28.1458333333	27.8541666667	7.1054273576e-15
97	0.99	27.875	27.59375	0.0
98	0.99	28.34375	28.0520833333	7.1054273576e-15
99	0.99	28.6041666667	28.3125	0.0
100	0.99	28.1041666667	27.8229166667	7.1054273576e-15
1	0.6	28.53125	17.1145833333	0.0
2	0.6	28.84375	17.3020833333	0.0
3	0.6	27.7604166667	16.65625	0.0
4	0.6	28.0833333333	16.84375	0.0
5	0.6	28.59375	17.15625	0.0
6	0.6	27.7395833333	16.6354166667	0.0
7	0.6	28.15625	16.8854166667	0.0
8	0.6	29.0729166667	17.4375	0.0
9	0.6	27.4375	16.4583333333	0.0
10	0.6	28.4895833333	17.09375	0.0
11	0.6	28.8541666667	17.3125	0.0
12	0.6	28.6458333333	17.1875	0.0
13	0.6	28.125	16.875	0.0
14	0.6	28.53125	17.1145833333	0.0
