"Salix" "Rgaller" "cooccur" "interact" "salix_ID" "galler_ID" "post.mean" "post.sd"
"175" "mielichhoferi" "Oobscu" 5 0 33 81 0.059699703371357 0.000497763752676545
"176" "waldsteiniana" "Oobscu" 7 7 52 81 1 0
"177" "pentandra" "Oobscu" 1 0 37 81 0.0618950360027647 0.00053379613159122
"178" "breviserrata" "Oobscu" 4 0 10 81 0.0602338061390043 0.000506422251976345
"179" "reticulata" "Oobscu" 4 0 43 81 0.0602338061390043 0.000506422251976345
"180" "retusa" "Oobscu" 5 0 44 81 0.059699703371357 0.000497763752676545
"181" "aurita" "Oobscu" 0 0 6 81 0.062469330986797 0.000543414899234718
"182" "triandra" "Oobscu" 0 0 48 81 0.062469330986797 0.000543414899234718
"183" "lanata" "Oobscu" 0 0 28 81 0.062469330986797 0.000543414899234718
"184" "herbacea" "Oobscu" 0 0 27 81 0.062469330986797 0.000543414899234718
"185" "borealis" "Oobscu" 0 0 9 81 0.062469330986797 0.000543414899234718
"186" "myrtilloides" "Oobscu" 0 0 36 81 0.062469330986797 0.000543414899234718
"187" "viminalis" "Oobscu" 0 0 49 81 0.062469330986797 0.000543414899234718
"188" "glabra" "Oobscu" 0 0 21 81 0.062469330986797 0.000543414899234718
"189" "apennina" "Oobscu" 0 0 4 81 0.062469330986797 0.000543414899234718
"190" "rubens" "Oobscu" 0 0 46 81 0.062469330986797 0.000543414899234718
"191" "rosmarinifolia" "Oobscu" 0 0 45 81 0.062469330986797 0.000543414899234718
"192" "caprea x appendiculata" "Oobscu" 0 0 12 81 0.062469330986797 0.000543414899234718
"193" "cinerea oleifolia" "Oobscu" 0 0 14 81 0.062469330986797 0.000543414899234718
"194" "viminalis x caprea" "Oobscu" 0 0 51 81 0.062469330986797 0.000543414899234718
"195" "viminalis x ?" "Oobscu" 0 0 50 81 0.062469330986797 0.000543414899234718
"196" "alpina?" "Oobscu" 1 1 3 81 1 0
"197" "phylicifolia x caprea ?" "Oobscu" 0 0 39 81 0.062469330986797 0.000543414899234718
"198" "lapponum x glauca?" "Oobscu" 0 0 31 81 0.062469330986797 0.000543414899234718
"199" "lapponum x glauca" "Oobscu" 0 0 30 81 0.062469330986797 0.000543414899234718
"200" "aurita x caprea" "Oobscu" 0 0 7 81 0.062469330986797 0.000543414899234718
"201" "starkeana" "Oobscu" 0 0 47 81 0.062469330986797 0.000543414899234718
"202" "hastata x phylicifolia" "Oobscu" 0 0 25 81 0.062469330986797 0.000543414899234718
"203" "lapponum x phylicifolia" "Oobscu" 0 0 32 81 0.062469330986797 0.000543414899234718
"204" "acutifolia" "Oobscu" 0 0 1 81 0.062469330986797 0.000543414899234718
"205" "bicolor" "Oobscu" 0 0 8 81 0.062469330986797 0.000543414899234718
"206" "polaris" "Oobscu" 0 0 40 81 0.062469330986797 0.000543414899234718
"207" "cinerea x myrsinifolia" "Oobscu" 0 0 15 81 0.062469330986797 0.000543414899234718
"208" "fragilis x pentandra" "Oobscu" 0 0 20 81 0.062469330986797 0.000543414899234718
"209" "elaeagnos" "Okriec" 17 17 17 71 1 0
