"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"162" "Epurpu" "Aalvea" 0 0 2 21 0.127340212208506 0.00865366270425834
"163" "Eatraa" "Aalvea" 0 0 2 3 0.127340212208506 0.00865366270425834
"164" "Eangus" "Aalvea" 0 0 2 1 0.127340212208506 0.00865366270425834
"165" "Hangli" "Aalvea" 0 0 2 30 0.127340212208506 0.00865366270425834
"166" "Hleuca" "Aalvea" 0 0 2 35 0.127340212208506 0.00865366270425834
"167" "Hoblit" "Aalvea" 0 0 2 38 0.127340212208506 0.00865366270425834
"168" "Heryth" "Aalvea" 0 0 2 33 0.127340212208506 0.00865366270425834
"169" "Halien" "Aalvea" 0 0 2 29 0.127340212208506 0.00865366270425834
"170" "Hsglab" "Aalvea" 0 0 2 48 0.127340212208506 0.00865366270425834
"171" "Htuber" "Aalvea" 0 0 2 54 0.127340212208506 0.00865366270425834
"172" "Eweiff" "Aalvea" 0 0 2 27 0.127340212208506 0.00865366270425834
"173" "Esubge" "Aalvea" 0 0 2 24 0.127340212208506 0.00865366270425834
"174" "Egemmc" "Aalvea" 0 0 2 9 0.127340212208506 0.00865366270425834
"175" "Eaurit" "Aalvea" 0 0 2 4 0.127340212208506 0.00865366270425834
"176" "Ospset" "Aalvea" 0 0 2 91 0.127340212208506 0.00865366270425834
"177" "Emyrti" "Aalvea" 0 0 2 18 0.127340212208506 0.00865366270425834
"178" "Esmyrt" "Aalvea" 0 0 2 23 0.127340212208506 0.00865366270425834
"179" "Esmyrs" "Aalvea" 0 0 2 22 0.127340212208506 0.00865366270425834
"180" "Eciner" "Aalvea" 0 0 2 6 0.127340212208506 0.00865366270425834
"181" "Eappen" "Aalvea" 0 0 2 2 0.127340212208506 0.00865366270425834
"182" "Hpscho" "Aalvea" 0 0 2 45 0.127340212208506 0.00865366270425834
"183" "Hplicp" "Aalvea" 0 0 2 42 0.127340212208506 0.00865366270425834
"184" "Hscapr" "Aalvea" 0 0 2 47 0.127340212208506 0.00865366270425834
