,acutifolia,alba,alpina?,apennina,appendiculata,aurita,aurita x caprea,bicolor,borealis,breviserrata,caprea,caprea x appendiculata,cinerea,cinerea oleifolia,cinerea x myrsinifolia,daphnoides,elaeagnos,foetida,fragilis,fragilis x pentandra,glabra,glauca,glaucosericea,hastata,hastata x phylicifolia,helvetica,herbacea,lanata,lapponum,lapponum x glauca,lapponum x glauca?,lapponum x phylicifolia,mielichhoferi,myrsinifolia,myrsinites,myrtilloides,pentandra,phylicifolia,phylicifolia x caprea ?,polaris,purpurea,repens,reticulata,retusa,rosmarinifolia,rubens,starkeana,triandra,viminalis,viminalis x ?,viminalis x caprea,waldsteiniana
Opolar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Opprox,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oproxi,0,18,0,0,0,-2,0,0,0,0,-4,0,-4,0,0,-1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-14,0,0,0,0,2,0,-1,-6,-1,-1,0
Opustu,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oretic,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-4,0,0,0,-3,0,-4,0,-2,-3,-3,-2,0,0,0,0,-2,-3,0,0,0,0,0,-2,0,13,-5,0,0,0,0,0,0,0,0
Oretus,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-5,0,0,0,0,0,-2,0,-3,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-3,0,-5,11,0,0,0,0,0,0,0,0
Osamol,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-14,0,-4,-1,0,-1,-8,20,0,0,1,0,-3,-1,-1,0,-8,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Ospeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0,0,-1,-2,0,0,0,0,0,3,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
Ospset,0,0,0,0,0,0,0,0,-1,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,0,0,-1,-2,0,0,-1,0,-2,0,-3,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Otrian,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-1,0,8,-1,0,-1,0
Ovaria,0,-2,0,1,-6,0,0,0,-1,-5,-4,0,-1,0,0,-7,-5,-10,0,0,0,-6,-3,-14,-1,-7,0,-5,-3,0,0,-1,6,50,-1,-1,-1,-6,0,0,-9,0,-2,-2,0,0,-1,0,-1,0,0,-5
Ovesic,0,-3,0,0,-3,-1,0,0,0,0,-2,-1,-3,0,0,-6,-5,-2,0,0,0,0,-1,-2,0,-2,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,26,0,-1,-2,0,0,0,0,-1,0,0,0
Ovimin,-1,-11,0,0,-3,-1,0,0,0,-1,-4,-1,-8,0,0,-6,-7,-3,-4,0,0,0,-1,-4,0,-3,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,54,0,-1,-2,0,0,0,-1,-4,-1,0,0
Oviril,0,-1,0,0,-1,-1,0,0,0,-1,-1,0,-4,0,0,-2,0,0,0,0,0,0,-1,-2,0,-2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,13,0,0,0,0,0,0,-1,-1,0,0,0
