,Salix,Rgaller,cooccur,interact
597,aurita,Ovimin,1,0
598,triandra,Ovimin,1,0
599,lanata,Ovimin,0,0
600,herbacea,Ovimin,0,0
601,borealis,Ovimin,0,0
602,myrtilloides,Ovimin,0,0
603,viminalis,Ovimin,4,0
604,glabra,Ovimin,0,0
605,apennina,Ovimin,0,0
606,rubens,Ovimin,0,0
607,rosmarinifolia,Ovimin,0,0
608,caprea x appendiculata,Ovimin,1,0
609,cinerea oleifolia,Ovimin,0,0
610,viminalis x caprea,Ovimin,0,0
611,viminalis x ?,Ovimin,1,0
612,alpina?,Ovimin,0,0
613,phylicifolia x caprea ?,Ovimin,0,0
614,lapponum x glauca?,Ovimin,0,0
615,lapponum x glauca,Ovimin,0,0
616,aurita x caprea,Ovimin,0,0
617,starkeana,Ovimin,0,0
618,hastata x phylicifolia,Ovimin,0,0
619,lapponum x phylicifolia,Ovimin,0,0
620,acutifolia,Ovimin,1,0
621,bicolor,Ovimin,0,0
622,polaris,Ovimin,0,0
623,cinerea x myrsinifolia,Ovimin,0,0
624,fragilis x pentandra,Ovimin,0,0
625,elaeagnos,Oproxi,0,0
626,appendiculata,Oproxi,0,0
627,myrsinifolia,Oproxi,1,0
628,foetida,Oproxi,0,0
629,hastata,Oproxi,0,0
630,daphnoides,Oproxi,1,0
631,helvetica,Oproxi,0,0
632,glaucosericea,Oproxi,0,0
633,cinerea,Oproxi,4,0
634,purpurea,Oproxi,14,0
635,alba,Oproxi,19,18
636,fragilis,Oproxi,25,24
637,repens,Oproxi,0,0
638,lapponum,Oproxi,0,0
639,myrsinites,Oproxi,0,0
640,phylicifolia,Oproxi,0,0
641,glauca,Oproxi,0,0
642,caprea,Oproxi,4,0
643,mielichhoferi,Oproxi,0,0
644,waldsteiniana,Oproxi,0,0
645,pentandra,Oproxi,0,0
646,breviserrata,Oproxi,0,0
647,reticulata,Oproxi,0,0
648,retusa,Oproxi,0,0
649,aurita,Oproxi,2,0
650,triandra,Oproxi,1,0
651,lanata,Oproxi,0,0
652,herbacea,Oproxi,0,0
653,borealis,Oproxi,0,0
654,myrtilloides,Oproxi,0,0
655,viminalis,Oproxi,6,0
656,glabra,Oproxi,0,0
657,apennina,Oproxi,0,0
658,rubens,Oproxi,2,2
659,rosmarinifolia,Oproxi,0,0
660,caprea x appendiculata,Oproxi,0,0
661,cinerea oleifolia,Oproxi,0,0
662,viminalis x caprea,Oproxi,1,0
663,viminalis x ?,Oproxi,1,0
664,alpina?,Oproxi,0,0
665,phylicifolia x caprea ?,Oproxi,0,0
666,lapponum x glauca?,Oproxi,0,0
667,lapponum x glauca,Oproxi,0,0
668,aurita x caprea,Oproxi,0,0
669,starkeana,Oproxi,0,0
670,hastata x phylicifolia,Oproxi,0,0
671,lapponum x phylicifolia,Oproxi,0,0
672,acutifolia,Oproxi,0,0
673,bicolor,Oproxi,0,0
674,polaris,Oproxi,0,0
675,cinerea x myrsinifolia,Oproxi,0,0
676,fragilis x pentandra,Oproxi,0,0
677,elaeagnos,Ocolla,0,0
678,appendiculata,Ocolla,0,0
679,myrsinifolia,Ocolla,0,0
680,foetida,Ocolla,0,0
681,hastata,Ocolla,0,0
682,daphnoides,Ocolla,1,0
683,helvetica,Ocolla,0,0
684,glaucosericea,Ocolla,0,0
685,cinerea,Ocolla,1,0
686,purpurea,Ocolla,0,0
687,alba,Ocolla,0,0
688,fragilis,Ocolla,0,0
689,repens,Ocolla,9,9
690,lapponum,Ocolla,0,0
691,myrsinites,Ocolla,0,0
692,phylicifolia,Ocolla,0,0
693,glauca,Ocolla,0,0
694,caprea,Ocolla,0,0
695,mielichhoferi,Ocolla,0,0
696,waldsteiniana,Ocolla,0,0
697,pentandra,Ocolla,0,0
698,breviserrata,Ocolla,0,0
699,reticulata,Ocolla,0,0
700,retusa,Ocolla,0,0
701,aurita,Ocolla,1,0
702,triandra,Ocolla,0,0
703,lanata,Ocolla,0,0
704,herbacea,Ocolla,0,0
705,borealis,Ocolla,0,0
706,myrtilloides,Ocolla,0,0
707,viminalis,Ocolla,0,0
708,glabra,Ocolla,0,0
709,apennina,Ocolla,0,0
710,rubens,Ocolla,0,0
711,rosmarinifolia,Ocolla,2,2
712,caprea x appendiculata,Ocolla,0,0
713,cinerea oleifolia,Ocolla,0,0
714,viminalis x caprea,Ocolla,0,0
715,viminalis x ?,Ocolla,0,0
716,alpina?,Ocolla,0,0
717,phylicifolia x caprea ?,Ocolla,0,0
718,lapponum x glauca?,Ocolla,0,0
719,lapponum x glauca,Ocolla,0,0
720,aurita x caprea,Ocolla,0,0
721,starkeana,Ocolla,0,0
722,hastata x phylicifolia,Ocolla,0,0
723,lapponum x phylicifolia,Ocolla,0,0
724,acutifolia,Ocolla,0,0
725,bicolor,Ocolla,0,0
726,polaris,Ocolla,0,0
727,cinerea x myrsinifolia,Ocolla,0,0
728,fragilis x pentandra,Ocolla,0,0
729,elaeagnos,Osamol,0,0
730,appendiculata,Osamol,0,0
731,myrsinifolia,Osamol,3,0
732,foetida,Osamol,0,0
733,hastata,Osamol,4,0
734,daphnoides,Osamol,0,0
735,helvetica,Osamol,0,0
736,glaucosericea,Osamol,0,0
737,cinerea,Osamol,0,0
738,purpurea,Osamol,0,0
739,alba,Osamol,0,0
740,fragilis,Osamol,0,0
741,repens,Osamol,0,0
742,lapponum,Osamol,20,20
743,myrsinites,Osamol,1,0
744,phylicifolia,Osamol,8,0
745,glauca,Osamol,14,0
746,caprea,Osamol,1,0
747,mielichhoferi,Osamol,0,0
748,waldsteiniana,Osamol,0,0
749,pentandra,Osamol,0,0
750,breviserrata,Osamol,0,0
751,reticulata,Osamol,0,0
752,retusa,Osamol,0,0
753,aurita,Osamol,0,0
754,triandra,Osamol,0,0
755,lanata,Osamol,8,0
756,herbacea,Osamol,1,0
757,borealis,Osamol,1,0
758,myrtilloides,Osamol,1,0
759,viminalis,Osamol,0,0
760,glabra,Osamol,0,0
761,apennina,Osamol,0,0
762,rubens,Osamol,0,0
763,rosmarinifolia,Osamol,0,0
764,caprea x appendiculata,Osamol,0,0
765,cinerea oleifolia,Osamol,0,0
766,viminalis x caprea,Osamol,0,0
767,viminalis x ?,Osamol,0,0
768,alpina?,Osamol,0,0
769,phylicifolia x caprea ?,Osamol,0,0
770,lapponum x glauca?,Osamol,0,0
771,lapponum x glauca,Osamol,0,0
